Category,Image,Title,Price
giay-nike,https://giayxshop.vn/wp-content/uploads/2022/12/z3994859420058_5ea65d34558bcd57541df9bfc849553a-300x300.jpg,Nike Air Force 1 EMB Kem Đen Xanh REP 1:1,550
giay-nike,https://giayxshop.vn/wp-content/uploads/2023/09/z4689154234874_c1a507397567d24ea321f3e8d29ed419-300x300.jpg,Nike Air Force 1 LOVE Trắng Hồng REP 1:1,550
giay-nike,https://giayxshop.vn/wp-content/uploads/2022/10/z3804040188901_a4a07faafc503b62b91fb1b3c7d81aa6-300x300.jpg,Nike Jordan 1 Low Xám Gót Navy REP 1:1,550
giay-nike,https://giayxshop.vn/wp-content/uploads/2023/08/z4597164859924_42eaeb1f0adf051d1b8f6f9bf01d726e-300x300.jpg,Nike Air Force 1 Kem Viền Xanh Đế Nâu REP 1:1,550
giay-nike,https://giayxshop.vn/wp-content/uploads/2023/02/z4116769742198_29614f2779e121caf86d18853ec87357-300x300.jpg,Nike Jordan 1 Low Đen Trắng Xanh Dương REP 1:1,550
giay-nike,https://giayxshop.vn/wp-content/uploads/2023/09/z4689153236974_05d6d74cfbfef7bfd0b5851cb9336511-300x300.jpg,Nike Air Force 1 07 Undefeated Trắng Xám REP 1:1,550
giay-nike,https://giayxshop.vn/wp-content/uploads/2023/08/z4597161144424_fba559e28f0000c6af45c70c5c2af25c-300x300.jpg,Nike Air Force 1 Full Black REP 1:1,550
giay-nike,https://giayxshop.vn/wp-content/uploads/2023/02/z4136819309116_b0367e00635ce337ca768ef174329a79-300x300.jpg,Nike Dunk Low Retro Xám REP 1:1,550
giay-nike,https://giayxshop.vn/wp-content/uploads/2021/12/z3655990856553_02413ba7d956485d835148c00cfe365a-300x300.jpg,Nike Air Force 1 Da Lộn Xám Vải Trắng REP 1:1,600
giay-nike,https://giayxshop.vn/wp-content/uploads/2023/08/z4629127841505_fc2751611e1dd69f5b842329fa02a26d-300x300.jpg,Nike Air Force 1 Low Just Do It Trắng Xanh REP 1:1,550
